dataset,n_eval_times,val_score,c_index,ibs,mean_auc,optimal_temperature
GBSG2,9,0.7019,0.7171,0.1661,0.775,0.8092
Melanoma,9,0.7702,0.6606,0.1975,0.6983,1.865
Unemployment,8,0.5658,0.5556,0.2141,0.6318,1.2658
breast,3,0.68,0.8158,0.1632,0.8316,1.3402
burn,9,0.6702,0.4489,0.2571,0.3153,0.7255
cancer,9,0.5767,0.6256,0.2152,0.6303,2.0851
cgd,9,0.4636,0.6548,0.1866,0.7717,2.75
colon,9,0.6881,0.5936,0.2106,0.5961,1.0578
cost,9,0.6725,0.6636,0.1657,0.7556,0.9418
d.oropha.rec,9,0.6107,0.6497,0.1771,0.7354,1.5868
dataOvarian1,9,0.6092,0.6309,0.185,0.6907,1.3481
diabetes,9,0.6028,0.6648,0.1681,0.8117,1.0874
e1684,9,0.5323,0.5908,0.2024,0.645,1.0499
follic,9,0.6544,0.6485,0.1915,0.6595,1.4159
glioma,5,0.6786,0.8571,0.2087,0.8889,5.0
grace,5,0.7397,0.6721,0.227,0.6739,1.1165
hepatoCellular,9,0.6676,0.6019,0.1774,0.7124,1.4638
mgus,9,0.7319,0.7308,0.1458,0.8356,1.0932
nki70,9,0.7989,0.728,0.2152,0.8255,5.0
ova,9,0.7066,0.7007,0.1779,0.7802,1.3331
ovarian,5,0.8,0.8,0.2387,0.7105,5.0
pbc,9,0.6693,0.8015,0.1477,0.7716,1.8379
pharmacoSmoking,6,0.5774,0.5872,0.2529,0.6818,1.3635
phpl04K8a,9,0.6562,0.5003,0.2447,0.5253,0.9528
prostate,9,0.5792,0.6286,0.2049,0.6635,1.2357
retinopathy,9,0.6347,0.7517,0.1622,0.8387,1.1935
stagec,9,0.576,0.7326,0.1705,0.7851,3.1712
uis,9,0.5554,0.5987,0.1831,0.6567,1.0688
veteran,9,0.6237,0.6779,0.2059,0.7997,5.0
vlbw,9,0.9023,0.9184,0.0762,0.9113,1.2336
whas500,9,0.736,0.8594,0.1359,0.8628,0.8659
zinc,4,0.7479,0.7082,0.2371,0.7184,0.4768
