dataset,time,cindex
FRTCS,1506.75,0.4237170596393897
FRTCS,1627.0,0.8970764407642796
FRTCS,1740.25,0.9234602198208155
Rossi,17.0,0.7224199288256228
Rossi,28.0,0.870983446932814
Rossi,41.5,0.8839009287925697
aids,4.592499999999999,0.7850749504488752
aids,8.600000000000001,0.7869860668322846
aids,11.6075,0.7992014158501307
csl,0.75068493150685,0.7053732984312281
csl,2.3547945205479452,0.8056244616267935
csl,4.967123287671233,0.8747523007871385
epileptic,166.0,0.8574956822638473
epileptic,357.0,0.8852264246876701
epileptic,663.0,0.8676197711732481
heart,19.5,0.7634092549032399
heart,66.0,0.7700251846750747
heart,175.5,0.7971461363326502
heartvalve,2.48356164383525,0.8274497123754256
heartvalve,4.4534246575345,0.8237257656253617
heartvalve,5.6130136986300005,0.9751776436706499
