pid,eval_time,risk,surv_prob,dataset
3,1419.5,2.8524808982167675,0.8781598271269775,FRTCS
3,1542.0,4.402718861574056,0.8941464587442943,FRTCS
3,1627.0,2.8355859578496125,0.9269546554781105,FRTCS
3,1726.8,-1.5005661013285456,0.9651427966740994,FRTCS
3,1782.6,-4.9292224827505295,0.999999999960841,FRTCS
7,1419.5,1.006085138354604,0.9797056928660857,FRTCS
7,1542.0,2.4045082074943736,0.9849452721257856,FRTCS
7,1627.0,1.369027906323246,0.9826521139386037,FRTCS
7,1726.8,-2.283880793991426,0.9839206121667718,FRTCS
7,1782.6,-5.315695889477066,0.9999999999733935,FRTCS
8,1419.5,3.9504158715673627,0.6773845918937723,FRTCS
8,1542.0,5.221310056493553,0.7759409847984106,FRTCS
8,1627.0,3.765132563564347,0.8251773260147507,FRTCS
8,1726.8,0.25667111613905336,0.8141165459856974,FRTCS
8,1782.6,16.520399016913725,0.9222282414245729,FRTCS
11,1419.5,1.1260875180285803,0.9771479580830947,FRTCS
11,1542.0,2.701322966310293,0.9797957367074718,FRTCS
11,1627.0,1.5052191934507997,0.9801463216543918,FRTCS
11,1726.8,-2.656541226318228,0.9888950218404876,FRTCS
11,1782.6,-5.478203180988422,0.9999999999773842,FRTCS
12,1419.5,1.366228623499376,0.9710358755834277,FRTCS
12,1542.0,3.0975338826530514,0.9701207649955043,FRTCS
12,1627.0,1.6187140568609513,0.9777868743616792,FRTCS
12,1726.8,-2.0390131959922075,0.9795053484829739,FRTCS
12,1782.6,-6.015043572282192,0.999999999986779,FRTCS
19,1419.5,1.162645549869414,0.9763072328635953,FRTCS
19,1542.0,2.4546853036472136,0.984176757370318,FRTCS
19,1627.0,1.2732738346864259,0.9842236283918003,FRTCS
19,1726.8,-2.5425747879213665,0.9875628589252029,FRTCS
19,1782.6,-4.355404052295851,0.9999999999304915,FRTCS
25,1419.5,1.5509191074964768,0.965263759717117,FRTCS
25,1542.0,3.2164762293514997,0.9664109309390994,FRTCS
25,1627.0,1.6502970605015554,0.9770823503849179,FRTCS
25,1726.8,-2.488818248898133,0.9868805097108152,FRTCS
25,1782.6,-6.136433175470332,0.9999999999882903,FRTCS
29,1419.5,2.8347357422268122,0.8801689217714328,FRTCS
29,1542.0,4.422572095576058,0.892142699172772,FRTCS
29,1627.0,2.7532564790561804,0.9325280583334755,FRTCS
29,1726.8,-1.9518423530992863,0.9776596347900977,FRTCS
29,1782.6,-5.276420500290505,0.9999999999723277,FRTCS
30,1419.5,1.3273920447540422,0.9721236542854788,FRTCS
30,1542.0,2.726919321715029,0.9792773707047623,FRTCS
30,1627.0,1.314037977278697,0.9835726508830124,FRTCS
30,1726.8,-2.842763333609187,0.9907731429773733,FRTCS
30,1782.6,-6.264154264737398,0.9999999999896944,FRTCS
31,1419.5,1.2057687935926305,0.9752761860676986,FRTCS
31,1542.0,2.658029890087856,0.9806434372225439,FRTCS
31,1627.0,1.4908562583189173,0.9804266514888533,FRTCS
31,1726.8,-2.9301581264187284,0.9915420149487233,FRTCS
31,1782.6,-5.770282835675818,0.9999999999831126,FRTCS
32,1419.5,2.7620271759912227,0.8880829149198382,FRTCS
32,1542.0,4.225399264905559,0.9105507715553476,FRTCS
32,1627.0,2.563302137589329,0.9438663258768554,FRTCS
32,1726.8,-1.8143372695671056,0.9744089746592647,FRTCS
32,1782.6,-5.040145369305225,0.9999999999649524,FRTCS
40,1419.5,3.1405146582907832,0.8408882622501852,FRTCS
40,1542.0,4.3943142509249045,0.894984143115315,FRTCS
40,1627.0,2.53535117265349,0.9453705260006224,FRTCS
40,1726.8,-1.8417642590924634,0.975092625776998,FRTCS
40,1782.6,-5.624196008072121,0.9999999999804563,FRTCS
42,1419.5,2.8262190446119067,0.8811221918059507,FRTCS
42,1542.0,4.303737903589671,0.9036243197962143,FRTCS
42,1627.0,2.665061296591517,0.9380435127189244,FRTCS
42,1726.8,-1.2904043027807015,0.957167373527708,FRTCS
42,1782.6,-4.455907590042306,0.9999999999371378,FRTCS
43,1419.5,3.180311886108707,0.83499271002982,FRTCS
43,1542.0,4.21516097255035,0.9114202989901695,FRTCS
43,1627.0,2.444119096152701,0.950012710781586,FRTCS
43,1726.8,-1.7329229068108116,0.9722687043094411,FRTCS
43,1782.6,-5.31528443268795,0.9999999999733825,FRTCS
44,1419.5,1.5497175885104906,0.9653047387938436,FRTCS
44,1542.0,2.9408368845813047,0.9743983635994838,FRTCS
44,1627.0,1.4224337275389027,0.9817092053260836,FRTCS
44,1726.8,-2.7462079012960445,0.9898425763641725,FRTCS
44,1782.6,-6.371322334915743,0.9999999999907416,FRTCS
45,1419.5,2.7831845391450525,0.8858318854763638,FRTCS
45,1542.0,4.2846895415337904,0.9053538126246802,FRTCS
45,1627.0,2.478446443671534,0.948312888392316,FRTCS
45,1726.8,-1.3221293376212224,0.9584767428686428,FRTCS
45,1782.6,-4.911797422276297,0.9999999999601527,FRTCS
50,1419.5,3.3972024631862583,0.7993069517485958,FRTCS
50,1542.0,4.940254116132887,0.8256998269749695,FRTCS
50,1627.0,3.7946270332199674,0.820444549597809,FRTCS
50,1726.8,-0.9125469622323588,0.9381199768172493,FRTCS
50,1782.6,16.12842151574626,0.9467616099658946,FRTCS
52,1419.5,3.1426292184828784,0.8405798527778937,FRTCS
52,1542.0,2.6924678884889652,0.9799720614562462,FRTCS
52,1627.0,1.2397697783527448,0.9847394572268086,FRTCS
52,1726.8,-2.8121297771368887,0.9904874871239366,FRTCS
52,1782.6,-6.334066133881752,0.9999999999903902,FRTCS
55,1419.5,3.0102537715201034,0.8588756210123766,FRTCS
55,1542.0,4.209152359825512,0.9119268563973363,FRTCS
55,1627.0,2.50673033573042,0.9468702018479777,FRTCS
55,1726.8,-1.4310219959563764,0.9626798219028804,FRTCS
55,1782.6,-4.795847935372936,0.9999999999552539,FRTCS
56,1419.5,2.7234076632260447,0.8920850584318399,FRTCS
56,1542.0,4.267319106806701,0.9069053043775294,FRTCS
56,1627.0,2.6303283300918157,0.9400938248938527,FRTCS
56,1726.8,-2.0201120973679556,0.9791184043885074,FRTCS
56,1782.6,-5.3062338883141456,0.9999999999731405,FRTCS
57,1419.5,1.1579916055825032,0.9764159339268355,FRTCS
57,1542.0,2.6086476856685508,0.9815674389966889,FRTCS
57,1627.0,1.3677122687956174,0.9826747237275875,FRTCS
57,1726.8,-2.40072203031106,0.9856809839749013,FRTCS
57,1782.6,-5.348076912978987,0.9999999999742413,FRTCS
61,1419.5,1.1706586220524482,0.9761189126318663,FRTCS
61,1542.0,2.9764547434738233,0.9734824706351614,FRTCS
61,1627.0,1.7395132948751821,0.9749707234566191,FRTCS
61,1726.8,-2.861838753387095,0.9909466894918731,FRTCS
61,1782.6,-5.80099220911011,0.9999999999836233,FRTCS
62,1419.5,2.9629306827472055,0.8649361953337198,FRTCS
