dataset,time,cindex
FRTCS,1506.75,0.7751974892357807
FRTCS,1627.0,0.8154726165705513
FRTCS,1740.25,0.9063235761602576
Rossi,17.0,0.685641461342396
Rossi,28.0,0.7253521126760565
Rossi,41.5,0.6418338108882521
aids,4.592499999999999,0.7089137834657662
aids,8.600000000000001,0.7383420898381944
aids,11.6075,0.6505269316327564
csl,0.75068493150685,0.6144268505109807
csl,2.3547945205479452,0.6900537870038317
csl,4.967123287671233,0.7003986298206895
epileptic,166.0,0.6766969224427432
epileptic,357.0,0.6287789239373548
epileptic,663.0,0.5342052666007108
