dataset,time,cindex
FRTCS,1419.5,0.7568890118816846
FRTCS,1542.0,0.7549823209287135
FRTCS,1627.0,0.8154726165705513
FRTCS,1726.8,0.9054612239409879
FRTCS,1782.6,0.9468080722461011
Rossi,8.3,0.9464285714285715
Rossi,19.0,0.6757164404223228
Rossi,28.0,0.7253521126760565
Rossi,39.0,0.7221510883482714
Rossi,48.7,1.0
aids,2.449,0.7330994923712921
aids,5.4399999999999995,0.7029718698791652
aids,8.600000000000001,0.7383420898381944
aids,11.124,0.6801787259925778
aids,14.751000000000001,0.5967095747242478
csl,0.3531506849315072,0.5750305149321094
csl,0.9594520547945209,0.6204978929089078
csl,2.3547945205479452,0.6900537870038317
csl,4.290136986301371,0.7548473058759113
csl,7.250958904109587,0.7196391474223921
epileptic,84.0,0.5989871750966232
epileptic,182.0,0.6742872034694272
epileptic,357.0,0.6287789239373548
epileptic,582.0,0.5543726900395055
epileptic,1126.0,0.629158390534154
