dataset,time,cindex
FRTCS,1506.75,0.984743411927878
FRTCS,1627.0,0.9746091935835058
FRTCS,1740.25,0.977052263607238
Rossi,17.0,0.31761565836298933
Rossi,28.0,0.39629990262901654
Rossi,41.5,0.5003095975232198
aids,4.592499999999999,0.8371551839477015
aids,8.600000000000001,0.8322358111769957
aids,11.6075,0.8833071941294325
csl,0.75068493150685,0.3317525454876317
csl,2.3547945205479452,0.36525934216981437
csl,4.967123287671233,0.39560199820761277
epileptic,166.0,0.5854181295038109
epileptic,357.0,0.5750777745913381
epileptic,663.0,0.5677795232137807
heart,19.5,0.3555866289980446
heart,66.0,0.3748570372207262
heart,175.5,0.4604317440036098
heartvalve,2.48356164383525,0.7157154726179171
heartvalve,4.4534246575345,0.5726652551147561
heartvalve,5.6130136986300005,0.6378489807993615
oldmort,67.00200000000001,0.5107106643592825
oldmort,73.179,0.4960070123267713
oldmort,78.9135,0.5090096794010901
