dataset,n_eval_times,val_score,c_index,ibs,mean_auc,optimal_temperature
GBSG2,9,0.7017,0.7171,0.1661,0.775,0.8101
Melanoma,9,0.7702,0.6606,0.1975,0.6983,1.8743
Unemployment,8,0.5685,0.5556,0.2141,0.6318,1.2561
breast,3,0.68,0.8158,0.1629,0.8316,1.3488
burn,9,0.6702,0.4489,0.2596,0.3153,0.6924
cancer,9,0.5757,0.6256,0.215,0.6303,2.0634
cgd,9,0.4636,0.6548,0.1874,0.7717,2.7973
colon,9,0.6889,0.5936,0.2107,0.5961,1.0511
cost,9,0.6732,0.6636,0.1657,0.7556,0.941
d.oropha.rec,9,0.6107,0.6497,0.1772,0.7354,1.5896
dataOvarian1,9,0.608,0.6309,0.185,0.6907,1.3477
diabetes,9,0.6081,0.6648,0.1682,0.8117,1.0915
e1684,9,0.5329,0.5908,0.2023,0.645,1.0431
follic,9,0.6546,0.6485,0.1909,0.6595,1.3781
glioma,5,0.6786,0.8571,0.2087,0.8889,5.0
grace,5,0.739,0.6721,0.227,0.6739,1.118
hepatoCellular,9,0.6662,0.6019,0.1774,0.7124,1.4608
mgus,9,0.7326,0.7308,0.1458,0.8356,1.0928
nki70,9,0.7989,0.728,0.2152,0.8255,5.0
ova,9,0.6961,0.7007,0.1712,0.7802,1.0077
ovarian,5,0.8,0.8,0.2387,0.7105,5.0
pbc,9,0.6716,0.8015,0.1477,0.7716,1.8413
pharmacoSmoking,6,0.5774,0.5872,0.254,0.6818,1.3266
phpl04K8a,9,0.6562,0.5003,0.2446,0.5253,0.9552
prostate,9,0.5792,0.6286,0.2049,0.6635,1.2352
retinopathy,9,0.6357,0.7517,0.1622,0.8387,1.1951
stagec,9,0.58,0.7326,0.1706,0.7851,3.1796
uis,9,0.5568,0.5987,0.183,0.6567,1.0682
veteran,9,0.6187,0.6779,0.2059,0.7997,5.0
vlbw,9,0.9023,0.9184,0.0762,0.9113,1.2355
whas500,9,0.736,0.8594,0.1359,0.8628,0.8697
zinc,4,0.7496,0.7082,0.2372,0.7184,0.4766
