dataset,n_patients,n_events,test_cindex
GBSG2,103,45,0.6938488576449913
Melanoma,31,9,0.7029702970297029
Unemployment,68,39,0.6147079521463757
breast,15,4,0.4069767441860465
burn,24,7,0.6931818181818182
cancer,35,25,0.4977578475336323
cgd,20,7,0.7692307692307693
colon,140,68,0.5959268854346574
cost,78,61,0.6644576212068364
d.oropha.rec,29,21,0.5819209039548022
dataOvarian1,137,82,0.6532328719116874
diabetes,60,24,0.5224775224775224
e1684,43,30,0.5164034021871203
follic,82,53,0.7066666666666667
glioma,6,4,0.6428571428571429
grace,150,49,0.6435406698564593
hepatoCellular,35,15,0.4673913043478261
mgus,37,35,0.6093514328808446
nki70,22,7,0.8
ova,54,40,0.6772388059701493
ovarian,4,2,0.4
pbc,47,19,0.701627486437613
pharmacoSmoking,19,14,0.5576923076923077
phpl04K8a,67,36,0.6254050550874919
prostate,76,54,0.5509727626459144
retinopathy,60,24,0.5742771684945165
stagec,22,8,0.7674418604651163
uis,95,77,0.563501276990945
veteran,21,20,0.6298076923076923
vlbw,93,16,0.8672645739910314
whas500,70,27,0.7180511182108626
zinc,65,12,0.849624060150376
