dataset,RSF_c_index,RSF_ibs,RSF_mean_auc,CoxPH_c_index,CoxPH_ibs,CoxPH_mean_auc,DeepHit_c_index,DeepHit_ibs,DeepHit_mean_auc,DeepSurv_c_index,DeepSurv_ibs,DeepSurv_mean_auc,TabPFN_c_index,TabPFN_ibs,TabPFN_mean_auc
Aids2,0.5438681891686743,0.2139434729908905,0.5559499601988942,0.5715322926636085,0.2088320188913464,0.5895507842478294,0.5719118180918121,0.211442723124099,0.5984050171156705,0.5570278208639979,0.209351670826125,0.5740521477059457,0.5752,0.2179,0.6009
Dialysis,0.6956770312236068,0.1611699943129899,0.7237342629826935,0.6568521718792635,0.1662091980352871,0.6916617594187202,0.5350177362560258,0.1635258303630239,0.4256761189394015,0.6592494900014293,0.1640739955091834,0.6974499168252166,0.6544,0.1814,0.7502
Framingham,0.6906492317376749,0.1507421852457213,0.7569589398719945,0.7021660133337149,0.1477927826521832,0.7683475893001093,0.3311110475263956,0.1607500226180945,0.2610347604324731,0.6869009127585911,0.1522208487406982,0.7503673995842112,0.6909,0.1602,0.7617
GBSG2,0.7064285714285714,0.167758755254208,0.7616308925137987,0.6975,0.1742312052946954,0.7506138156611809,0.6264285714285714,0.2059470700527372,0.6430858368954039,0.7071428571428572,0.1645763500443229,0.7624412571653456,0.7218,0.1764,0.7726
LeukSurv,0.6718996667251359,0.1784481585263309,0.7279664771805547,0.6743553762497807,0.1818418132809682,0.7231143135561123,0.6690054376425189,0.3593951316892977,0.7247954736771096,0.6455884932467988,0.1962754764855681,0.698437472178708,0.6838,0.2231,0.7423
Melanoma,0.6476683937823834,0.1933793219451179,0.6913689964046443,0.7202072538860104,0.161879815916063,0.7719875698472418,0.3937823834196891,0.2329790164474143,0.3716009319257485,0.5647668393782384,0.3186164957684113,0.6191214365931086,0.6425,0.2211,0.6937
TRACE,0.7373269526576653,0.1580890272768883,0.8111154794142815,0.7423004614595795,0.1575057836030148,0.8118696036014205,0.7250726371560418,0.1892329939109682,0.7886512458440136,0.7380960519569304,0.1601480381536428,0.8080531737894209,0.7519,0.2176,0.8221
UnempDur,0.6624321903150351,0.2224571712228233,0.6877509485653202,0.6731324341810581,0.2193323729961366,0.7040098534880964,0.6356691385059473,0.2905493765407818,0.6592512138304812,0.6815059971134226,0.2263851213370914,0.7084027237642495,0.6769,0.2915,0.7147
Unemployment,0.5840957072484166,0.2195666296777072,0.652598342336067,0.565798733286418,0.2127590203349086,0.6200598311617634,0.5503166783954961,0.302850271473602,0.5833964638561192,0.525686136523575,0.2355838330497377,0.541886678085217,0.5658,0.2549,0.6284
acath,0.5819221378491589,0.2276655202109687,0.6022605112195131,0.5803429429025827,0.2234720695059757,0.6228247179835109,0.5690757789575074,0.3347093624989685,0.5767235914147014,0.5896277131913178,0.2226231588543635,0.626922694106543,0.5878,0.2204,0.6383
actg,0.7969061876247505,0.0620078955053965,0.806021703296329,0.8278443113772455,0.0607846830059312,0.8625445120223804,0.8028942115768463,0.1018283219833451,0.8291649605645043,0.6437125748502994,0.0936622031823081,0.6649418859691401,0.8059,0.2107,0.8305
