dataset,n_eval_times,val_score,c_index,ibs,mean_auc
GBSG2,9,0.7017,0.7279,0.1635,0.7822
Melanoma,9,0.7929,0.671,0.2319,0.6644
Unemployment,8,0.5647,0.5239,0.2155,0.6122
breast,3,0.64,0.8158,0.1916,0.8316
burn,9,0.6755,0.5682,0.2223,0.4475
cancer,9,0.5603,0.5908,0.2241,0.5828
cgd,9,0.4682,0.6905,0.1405,0.7348
colon,9,0.6918,0.5967,0.2162,0.6028
cost,9,0.6533,0.6093,0.1772,0.7186
d.oropha.rec,9,0.548,0.6102,0.2157,0.6741
dataOvarian1,9,0.6048,0.601,0.1871,0.6709
diabetes,9,0.6501,0.5839,0.199,0.6837
e1684,9,0.5359,0.6349,0.2005,0.6221
follic,9,0.6442,0.6502,0.1909,0.6404
glioma,5,0.6786,0.8571,0.1334,0.9137
grace,5,0.7465,0.6432,0.2489,0.6557
hepatoCellular,9,0.672,0.7459,0.1516,0.8385
mgus,9,0.7311,0.7104,0.1336,0.8262
nki70,9,0.7874,0.796,0.1562,0.9168
ova,9,0.651,0.6549,0.1775,0.7482
ovarian,5,0.6,0.4,0.3082,0.2895
pbc,9,0.6544,0.7893,0.1411,0.7955
pharmacoSmoking,6,0.5903,0.5,0.3101,0.4888
phpl04K8a,9,0.6273,0.4634,0.2531,0.5776
prostate,9,0.5785,0.6284,0.2026,0.6589
retinopathy,9,0.6232,0.7712,0.1518,0.8602
stagec,9,0.556,0.6705,0.2098,0.6898
uis,9,0.5503,0.6125,0.18,0.6558
veteran,9,0.6313,0.5913,0.2157,0.7287
vlbw,9,0.9216,0.9256,0.0722,0.9231
whas500,9,0.7348,0.8454,0.1466,0.8538
zinc,4,0.758,0.7082,0.189,0.7208
