dataset,landmark_time,tau,n_patients,n_events,val_cindex,test_cindex
Rossi,17.0,10,261,12,0.9887640449438202,1.0
Rossi,28.0,10,287,13,1.0,0.9916666666666667
Rossi,41.5,10,285,21,0.985,0.9810126582278481
aids,4.592499999999999,10,357,97,0.9749582637729549,0.9447983014861996
aids,8.600000000000001,10,353,87,0.9440745672436751,0.8671071953010279
aids,11.6075,10,308,44,0.764367816091954,0.7322946175637394
csl,0.75068493150685,10,351,199,0.7942359249329759,0.7578996282527881
csl,2.3547945205479452,10,257,135,0.8110859728506787,0.8313609467455622
csl,4.967123287671233,10,166,68,0.8565891472868217,0.8503184713375797
heartvalve,2.48356164383525,10,165,32,0.8012820512820513,1.0
heartvalve,4.4534246575345,10,130,23,0.6875,1.0
heartvalve,5.6130136986300005,10,93,11,0.875,1.0
oldmort,67.00200000000001,10,665,192,0.8376703841387856,0.8967022308438409
oldmort,73.179,10,621,268,0.8864881314668289,0.8891273247496424
oldmort,78.9135,10,311,169,0.8359073359073359,0.7994467496542186
