dataset,n_eval_times,score,c_index,ibs,mean_auc
GBSG2,9,0.6979,0.7171,0.1692,0.775
Melanoma,9,0.7601,0.6606,0.209,0.6983
Unemployment,8,0.5598,0.5556,0.2146,0.6318
breast,3,0.68,0.8158,0.1788,0.8316
burn,9,0.6915,0.4489,0.241,0.3153
cancer,9,0.5726,0.6256,0.2154,0.6303
cgd,9,0.4909,0.6548,0.1481,0.7717
colon,9,0.6934,0.5936,0.2109,0.5961
cost,9,0.6963,0.6636,0.1662,0.7556
d.oropha.rec,9,0.58,0.6497,0.1785,0.7354
dataOvarian1,9,0.6142,0.6309,0.1847,0.6908
diabetes,9,0.6222,0.6648,0.1663,0.8117
e1684,9,0.542,0.5908,0.2018,0.645
follic,9,0.6411,0.6485,0.1858,0.6595
glioma,5,0.6429,0.8571,0.1507,0.8889
grace,5,0.7426,0.6721,0.2323,0.6739
hepatoCellular,9,0.6778,0.6019,0.1754,0.7124
mgus,9,0.7424,0.7308,0.1457,0.8356
nki70,9,0.8276,0.728,0.1835,0.8255
ova,9,0.6296,0.7007,0.171,0.7802
ovarian,5,0.8,0.8,0.2465,0.7105
pbc,9,0.6865,0.8015,0.1413,0.7716
pharmacoSmoking,6,0.5871,0.5872,0.2675,0.6818
phpl04K8a,9,0.6653,0.5003,0.2428,0.5253
prostate,9,0.5792,0.6286,0.2022,0.6635
retinopathy,9,0.6321,0.7517,0.1575,0.8387
stagec,9,0.568,0.7326,0.1755,0.7851
uis,9,0.5549,0.5987,0.1825,0.6567
veteran,9,0.5682,0.6779,0.1655,0.7997
vlbw,9,0.9008,0.9274,0.0717,0.9256
whas500,9,0.7421,0.8446,0.1409,0.8601
zinc,4,0.731,0.7066,0.1845,0.7225
