dataset,time,cindex
FRTCS,1419.5,0.45323741007194246
FRTCS,1542.0,0.7360097323600974
FRTCS,1627.0,0.9176662184191975
FRTCS,1726.8,0.9118600771150097
FRTCS,1782.6,0.9608002185770276
Rossi,8.3,0.7526041666666666
Rossi,19.0,0.817524115755627
Rossi,28.0,0.9070107108081792
Rossi,39.0,0.8999360613810742
Rossi,48.7,0.9038941587618572
aids,2.449,0.836243522931699
aids,5.4399999999999995,0.7998405257422776
aids,8.600000000000001,0.8162924450950013
aids,11.124,0.8162047701460645
aids,14.751000000000001,0.77978857876325
csl,0.3531506849315072,0.6483525441762765
csl,0.9594520547945209,0.8033281714647609
csl,2.3547945205479452,0.8504534285613451
csl,4.290136986301371,0.895764885460991
csl,7.250958904109587,0.9012512751326345
epileptic,84.0,0.9643661995791664
epileptic,182.0,0.8626656473501703
epileptic,357.0,0.8839577977898393
epileptic,582.0,0.873124933354497
epileptic,1126.0,0.8344562783212556
heart,5.0,0.8983050847457628
heart,30.4,0.8143470759241627
heart,66.0,0.8864190254695282
heart,108.39999999999998,0.8899641190417144
heart,487.60000000000207,0.8407140461559411
heartvalve,1.5556164383565005,nan
heartvalve,2.6408219178078998,0.8890770063894459
heartvalve,4.4534246575345,0.8445896597057885
heartvalve,5.5002739726028,0.9625404343939057
heartvalve,7.237808219177902,0.9313543174412559
