dataset,time,cindex
FRTCS,1419.5,0.9988009592326139
FRTCS,1542.0,0.9893552311435523
FRTCS,1627.0,0.9832400492678246
FRTCS,1726.8,0.984635477989282
FRTCS,1782.6,0.9608002185770276
Rossi,8.3,0.9129129129129129
Rossi,19.0,0.9422718808193669
Rossi,28.0,0.9495750708215297
Rossi,39.0,0.9464218808542525
Rossi,48.7,0.9024749558043607
aids,2.449,0.9533335635496395
aids,5.4399999999999995,0.8591117943745276
aids,8.600000000000001,0.8528003463014553
aids,11.124,0.8169733866323049
aids,14.751000000000001,0.7719111849950633
csl,0.3531506849315072,0.926958338066166
csl,0.9594520547945209,0.9363302950820596
csl,2.3547945205479452,0.9404760488873428
csl,4.290136986301371,0.9423265507086985
csl,7.250958904109587,0.8979771400703442
epileptic,84.0,0.9635283465463833
epileptic,182.0,0.9329161245644039
epileptic,357.0,0.9304513712329692
epileptic,582.0,0.9036662508966451
epileptic,1126.0,0.8094603567398035
heart,5.0,0.847457627118644
heart,30.4,0.8455465900516954
heart,66.0,0.8541779285414817
heart,108.39999999999998,0.8646825941321303
heart,487.60000000000207,0.8417565899719731
heartvalve,1.5556164383565005,nan
heartvalve,2.6408219178078998,0.9879201734467066
heartvalve,4.4534246575345,0.9878478079503924
heartvalve,5.5002739726028,0.9898205075119125
heartvalve,7.237808219177902,0.9328788655034842
